UberEats,Zomato
0.0,0
0.0,0.0
0.0,0.0
0.0,0.026515151515151512
0.0,0.026515151515151512
0.0,0.026515151515151512
0.0,0.053030303030303025
0.0,0.053030303030303025
0.0,0.053030303030303025
0.0,0.053030303030303025
0.0,0.053030303030303025
0.0,0.553030303030303
0.0,0.42247474747474745
0.0,0.42247474747474745
0.0,0.9224747474747474
0.0,0.9224747474747474
0.0,0.9224747474747474
0.0,0.8224747474747475
0.0,0.8224747474747475
0.0,0.8224747474747475
0.0,0.8224747474747475
0.0,0.8224747474747475
0.0,0.8224747474747475
0.0,0.6558080808080808
0.0,0.6558080808080808
0.0,0.6558080808080808
0.0,0.6558080808080808
0.0,0.6558080808080808
0.0,0.6558080808080808
0.0,1.1558080808080808
0.0,1.5002525252525252
0.8,1.5002525252525252
0.8,1.5267676767676768
0.8,1.5267676767676768
0.8,1.5267676767676768
0.8,1.5267676767676768
0.8,1.5267676767676768
0.8,1.5267676767676768
0.8,1.926767676767677
0.8,1.926767676767677
0.8,1.6267676767676769
0.8,1.6532828282828285
0.8,2.1532828282828285
0.8,2.1532828282828285
0.8,2.1532828282828285
0.8,2.1532828282828285
0.8,2.1532828282828285
0.8,2.1532828282828285
0.8,2.1532828282828285
0.8,2.1532828282828285
0.8,2.1532828282828285
0.8,1.9532828282828285
0.8,1.9532828282828285
0.8,1.9532828282828285
0.8,1.9532828282828285
0.8,1.9532828282828285
1.6,1.9532828282828285
1.6,1.9532828282828285
1.6,2.4532828282828287
1.6,2.4532828282828287
1.6,2.4532828282828287
1.6,2.4532828282828287
1.6,2.4532828282828287
1.6,3.2032828282828287
1.6,3.2032828282828287
1.6,3.2032828282828287
1.6,3.2032828282828287
1.6,3.2032828282828287
1.6,3.2032828282828287
1.6,3.2032828282828287
1.6,3.1032828282828286
1.6,3.1832828282828287
1.6,3.016616161616162
1.6,3.416616161616162
1.6,3.416616161616162
1.6,3.416616161616162
1.6,4.416616161616162
1.6,4.416616161616162
1.6,4.580901875901876
1.6,4.580901875901876
1.6,4.580901875901876
1.6,4.580901875901876
1.6,4.580901875901876
1.6,4.580901875901876
1.6,4.580901875901876
1.6,4.580901875901876
1.6,4.580901875901876
1.6,4.580901875901876
1.6,4.580901875901876
1.6,4.580901875901876
1.6,4.880901875901876
1.6,4.880901875901876
1.6,4.880901875901876
1.6,4.880901875901876
1.6,4.880901875901876
1.6,4.880901875901876
1.6,4.880901875901876
1.6,4.880901875901876
1.6,4.880901875901876
2.1,4.880901875901876
2.1,4.880901875901876
2.1,4.880901875901876
2.1,4.880901875901876
2.1,5.680901875901876
2.1,6.430901875901876
2.1,6.430901875901876
2.1,6.430901875901876
2.1,6.430901875901876
2.1,7.430901875901876
2.1,7.430901875901876
2.1,7.430901875901876
2.1,7.430901875901876
2.1,7.430901875901876
2.1,7.180901875901876
2.1,7.180901875901876
2.1,7.180901875901876
2.1,7.180901875901876
2.1,8.180901875901876
2.1,8.180901875901876
2.1,8.180901875901876
2.1,8.180901875901876
2.1,8.180901875901876
2.1,8.180901875901876
2.1,8.180901875901876
2.1,8.180901875901876
2.1,8.180901875901876
2.1,8.180901875901876
2.1,8.180901875901876
2.1,8.180901875901876
2.1,8.180901875901876
2.1,8.180901875901876
2.1,8.180901875901876
2.1,8.180901875901876
2.1,8.180901875901876
2.1,8.180901875901876
2.1,8.103124098124098
2.1,8.103124098124098
2.1,7.853124098124098
2.1,7.853124098124098
2.1,7.853124098124098
2.1,7.853124098124098
2.1,7.853124098124098
2.1,7.853124098124098
2.1,7.853124098124098
2.1,7.853124098124098
2.1,7.853124098124098
2.1,8.653124098124099
2.1,8.653124098124099
2.1,8.653124098124099
2.1,8.653124098124099
2.1,8.653124098124099
2.1,8.653124098124099
2.1,8.653124098124099
2.1,8.653124098124099
2.1,8.653124098124099
2.1,8.153124098124099
2.1,7.903124098124099
2.1,7.903124098124099
2.1,7.903124098124099
2.1,7.903124098124099
2.1,7.903124098124099
2.1,7.903124098124099
2.1,7.903124098124099
2.1,7.903124098124099
2.1,7.903124098124099
2.1,7.903124098124099
2.1,8.403124098124099
2.1,8.903124098124099
2.1,9.653124098124099
2.1,9.653124098124099
2.1,9.653124098124099
2.1,9.653124098124099
2.1,9.653124098124099
2.1,9.653124098124099
2.1,9.653124098124099
2.1,9.653124098124099
2.1,9.653124098124099
2.1,9.653124098124099
2.1,9.653124098124099
2.1,9.653124098124099
2.1,9.653124098124099
2.1,9.653124098124099
2.1,9.653124098124099
2.1,9.653124098124099
2.1,9.653124098124099
2.1,9.653124098124099
2.1,9.653124098124099
2.1,9.653124098124099
2.1,9.653124098124099
2.1,9.653124098124099
2.1,9.653124098124099
2.1,9.653124098124099
2.1,9.653124098124099
2.1,9.9531240981241
2.1,10.7531240981241
2.1,10.7531240981241
2.1,10.7531240981241
2.1,11.553124098124101
2.1,11.553124098124101
2.1,11.553124098124101
2.1,11.5281240981241
2.1,11.5281240981241
2.1,11.5281240981241
2.1,11.5281240981241
2.1,11.928124098124101
2.1,11.928124098124101
2.1,11.928124098124101
2.1,11.928124098124101
2.1,11.928124098124101
2.1,11.928124098124101
2.1,11.928124098124101
2.1,11.928124098124101
2.1,12.428124098124101
2.1,12.428124098124101
2.1,11.728124098124102
2.1,12.478124098124102
2.1,12.478124098124102
2.1,12.478124098124102
2.1,12.478124098124102
2.1,12.478124098124102
2.1,12.478124098124102
2.1,12.478124098124102
2.1,12.478124098124102
2.1,12.478124098124102
2.1,12.478124098124102
2.1,12.478124098124102
2.1,12.478124098124102
2.1,12.478124098124102
2.1,12.478124098124102
2.1,12.478124098124102
2.1,12.478124098124102
2.1,12.478124098124102
2.1,12.478124098124102
2.1,12.478124098124102
2.1,12.478124098124102
2.1,12.478124098124102
2.1,12.478124098124102
2.1,12.478124098124102
2.1,12.478124098124102
2.1,13.103124098124102
2.1,13.103124098124102
2.1,13.103124098124102
